version_id,scenario_code,option_code,gene_code,weight
v1,S01,A,WIS,2
v1,S01,B,WIS,1
v1,S01,B,EMP,1
v1,S01,C,HRM,2
v1,S01,D,CRG,2
v1,S02,A,WIS,2
v1,S02,B,CRG,2
v1,S02,C,HRM,1
v1,S02,C,EMP,1
v1,S02,D,DSC,2
v1,S03,A,WIS,2
v1,S03,B,CRG,2
v1,S03,C,HRM,1
v1,S03,C,EMP,1
v1,S03,D,DSC,2
v1,S04,A,WIS,2
v1,S04,B,CRG,2
v1,S04,C,HRM,2
v1,S04,D,DSC,2
v1,S05,A,WIS,2
v1,S05,B,CRG,2
v1,S05,C,HRM,2
v1,S05,D,DSC,2
v1,S06,A,WIS,2
v1,S06,B,CRG,2
v1,S06,C,EMP,2
v1,S06,D,DSC,2
v1,S07,A,WIS,2
v1,S07,B,CRG,2
v1,S07,C,HRM,1
v1,S07,C,EMP,1
v1,S07,D,DSC,2
v1,S08,A,WIS,2
v1,S08,B,CRG,2
v1,S08,C,EMP,2
v1,S08,D,DSC,2
v1,S09,A,WIS,2
v1,S09,B,CRG,2
v1,S09,C,EMP,2
v1,S09,D,DSC,2
v1,S10,A,WIS,2
v1,S10,B,CRG,2
v1,S10,C,HRM,2
v1,S10,D,DSC,2
v1,S11,A,WIS,2
v1,S11,B,CRG,2
v1,S11,C,HRM,1
v1,S11,C,EMP,1
v1,S11,D,DSC,2
v1,S12,A,WIS,2
v1,S12,B,CRG,2
v1,S12,C,EMP,2
v1,S12,D,DSC,2
v2,D01,A,LOVE,2
v2,D01,B,JOY,2
v2,D01,C,HLTH,2
v2,D01,D,FREE,2
v2,D02,A,FINC,2
v2,D02,B,LEARN,2
v2,D02,C,GRAT,2
v2,D02,D,FUN,2
v2,D03,A,LOVE,2
v2,D03,B,ACHV,2
v2,D03,C,GRAT,2
v2,D03,D,LOVE,2
v2,D04,A,ADVN,2
v2,D04,B,BALN,2
v2,D04,C,BALN,2
v2,D04,D,SPIR,2
v2,D05,A,COMM,2
v2,D05,B,FRND,2
v2,D05,C,FINC,2
v2,D05,D,SAFE,2
v2,D06,A,HLTH,2
v2,D06,B,LEARN,2
v2,D06,C,FUN,2
v2,D06,D,FUN,2
v2,D07,A,JUST,2
v2,D07,B,SAFE,2
v2,D07,C,JUST,2
v2,D07,D,SAFE,2
v2,D08,A,ADVN,2
v2,D08,B,LEARN,2
v2,D08,C,ADVN,2
v2,D08,D,SPIR,2
v2,D09,A,FINC,2
v2,D09,B,LOVE,2
v2,D09,C,FINC,2
v2,D09,D,DIGN,2
v2,D10,A,COMM,2
v2,D10,B,FUN,2
v2,D10,C,FRND,2
v2,D10,D,FREE,2
v2,D11,A,ACHV,2
v2,D11,B,DIGN,2
v2,D11,C,JOY,2
v2,D11,D,LEARN,2
v2,D12,A,FINC,2
v2,D12,B,ADVN,2
v2,D12,C,GRAT,2
v2,D12,D,FUN,2
v2,D13,A,ADVN,2
v2,D13,B,BALN,2
v2,D13,C,FUN,2
v2,D13,D,HLTH,2
v2,D14,A,JUST,2
v2,D14,B,JUST,2
v2,D14,C,COMM,2
v2,D14,D,DIGN,2
v2,D15,A,LOVE,2
v2,D15,B,COMM,2
v2,D15,C,SPIR,2
v2,D15,D,AMBT,2
v2,D16,A,ACHV,2
v2,D16,B,BALN,2
v2,D16,C,AMBT,2
v2,D16,D,AMBT,2
v2,D17,A,LEARN,2
v2,D17,B,LEARN,2
v2,D17,C,FRND,2
v2,D17,D,JOY,2
v2,D18,A,JOY,2
v2,D18,B,HLTH,2
v2,D18,C,COMM,2
v2,D18,D,ACHV,2
v2,D19,A,RECO,2
v2,D19,B,RECO,2
v2,D19,C,AMBT,2
v2,D19,D,JOY,2
v2,D20,A,COMM,2
v2,D20,B,SAFE,2
v2,D20,C,ARTS,2
v2,D20,D,AMBT,2
v2,D21,A,HLTH,2
v2,D21,B,HLTH,2
v2,D21,C,HLTH,2
v2,D21,D,FREE,2
v2,D22,A,DIGN,2
v2,D22,B,DIGN,2
v2,D22,C,SAFE,2
v2,D22,D,JUST,2
v2,D23,A,RECO,2
v2,D23,B,RECO,2
v2,D23,C,GRAT,2
v2,D23,D,RECO,2
v2,D24,A,ARTS,2
v2,D24,B,ADVN,2
v2,D24,C,FUN,2
v2,D24,D,GRAT,2
v2,D25,A,LOVE,2
v2,D25,B,LOVE,2
v2,D25,C,JOY,2
v2,D25,D,FREE,2
v2,D26,A,SAFE,2
v2,D26,B,ADVN,2
v2,D26,C,FINC,2
v2,D26,D,SPIR,2
v2,D27,A,ACHV,2
v2,D27,B,JUST,2
v2,D27,C,FRND,2
v2,D27,D,FREE,2
v2,D28,A,SPIR,2
v2,D28,B,SPIR,2
v2,D28,C,SPIR,2
v2,D28,D,FREE,2
v2,D29,A,FINC,2
v2,D29,B,FINC,2
v2,D29,C,LEARN,2
v2,D29,D,FINC,2
v2,D30,A,DIGN,2
v2,D30,B,JOY,2
v2,D30,C,JUST,2
v2,D30,D,SAFE,2
v2,D31,A,ADVN,2
v2,D31,B,LEARN,2
v2,D31,C,FRND,2
v2,D31,D,FREE,2
v2,D32,A,BALN,2
v2,D32,B,LOVE,2
v2,D32,C,ACHV,2
v2,D32,D,COMM,2
v2,D33,A,DIGN,2
v2,D33,B,COMM,2
v2,D33,C,LEARN,2
v2,D33,D,JOY,2
v2,D34,A,GRAT,2
v2,D34,B,HLTH,2
v2,D34,C,LOVE,2
v2,D34,D,ARTS,2
v2,D35,A,JUST,2
v2,D35,B,COMM,2
